"dataset","classifier","sweep","samples","variables","M","Tcycle","landmarks_requested","effective_landmarks","splitting","knn_k","ncomp","graph_neighbors","backend","n_cores","seed","wall_seconds","reported_core_seconds","best_cv_accuracy","median_cv_accuracy","selected_ari","median_run_ari","selected_classes","median_classes","min_classes","max_classes","best_run"
"MetRef","knn","Tcycle",873,375,100,20,100000,655,100,30,50,100,"cuda",4,1234,3.116,2.694829011,0.99236641221374,0.884732824427481,0.0414498451333173,0.0620042366687121,2,7,2,27,5
"MetRef","knn","Tcycle",873,375,100,50,100000,655,100,30,50,100,"cuda",4,1234,2.705,2.693264782,1,0.86030534351145,0.0517010433332051,0.0619175669887918,3,10,2,37,1
"MetRef","knn","Tcycle",873,375,100,100,100000,655,100,30,50,100,"cuda",4,1234,3.115,2.64617531,1,0.880916030534351,0.0517010433332051,0.0612904256484606,3,9,2,52,1
"MetRef","knn","M",873,375,20,100,100000,655,100,30,50,100,"cuda",4,1234,0.464,0.453905225,1,0.922900763358779,0.0517010433332051,0.0509920546648925,3,6,2,29,1
"MetRef","knn","M",873,375,50,100,100000,655,100,30,50,100,"cuda",4,1234,1.235,1.22127196,1,0.893129770992366,0.0517010433332051,0.0538816126928868,3,8,2,32,1
"MetRef","knn","M",873,375,100,100,100000,655,100,30,50,100,"cuda",4,1234,3.115,2.64617531,1,0.880916030534351,0.0517010433332051,0.0612904256484606,3,9,2,52,1
"MetRef","pls_lda","Tcycle",873,375,100,20,100000,655,100,30,50,100,"cuda",4,1234,119.79,119.776775089,0.978625954198473,0.950381679389313,0.79281831358812,0.699927540127863,34,34,22,45,81
"MetRef","pls_lda","Tcycle",873,375,100,50,100000,655,100,30,50,100,"cuda",4,1234,291.577,291.56207005,1,0.987786259541985,0.807092416818368,0.715808702304327,23,26,17,36,59
"MetRef","pls_lda","Tcycle",873,375,100,100,100000,655,100,30,50,100,"cuda",4,1234,584.089,584.073984347,1,0.99236641221374,0.770033523392767,0.704805959625854,21,24,15,34,30
"MetRef","pls_lda","M",873,375,20,100,100000,655,100,30,50,100,"cuda",4,1234,113.381,113.369144298,0.998473282442748,0.990076335877863,0.825703412353833,0.671074172989884,29,24.5,19,30,13
"MetRef","pls_lda","M",873,375,50,100,100000,655,100,30,50,100,"cuda",4,1234,277.456,277.442474154,1,0.993893129770992,0.843945274971735,0.681632370731364,26,23,15,31,3
"MetRef","pls_lda","M",873,375,100,100,100000,655,100,30,50,100,"cuda",4,1234,584.089,584.073984347,1,0.99236641221374,0.770033523392767,0.704805959625854,21,24,15,34,30
"USPS","knn","Tcycle",11000,256,100,20,100000,8250,100,30,50,100,"cuda",4,1234,15.336,14.66852436,0.966217100955873,0.941377588718462,0.245119078132505,0.218323854695562,46,61,46,82,100
"USPS","knn","Tcycle",11000,256,100,50,100000,8250,100,30,50,100,"cuda",4,1234,14.952,14.782294979,0.995540398740818,0.981556855025475,0.302337011813133,0.29218171983096,40,38,29,50,72
"USPS","knn","Tcycle",11000,256,100,100,100000,8250,100,30,50,100,"cuda",4,1234,15.828,15.697589394,0.999736564805058,0.992528005769402,0.313876874575637,0.318460708532554,30,32,25,41,64
"USPS","knn","M",11000,256,20,100,100000,8250,100,30,50,100,"cuda",4,1234,3.431,3.259334833,0.997637795275591,0.994679321760243,0.336963661970035,0.321319933457547,29,32.5,25,39,2
"USPS","knn","M",11000,256,50,100,100000,8250,100,30,50,100,"cuda",4,1234,8.227,8.043004541,0.997637795275591,0.992450587448223,0.336963661970035,0.321319933457547,29,32,25,40,2
"USPS","knn","M",11000,256,100,100,100000,8250,100,30,50,100,"cuda",4,1234,15.828,15.697589394,0.999736564805058,0.992528005769402,0.313876874575637,0.318460708532554,30,32,25,41,64
"USPS","pls_lda","Tcycle",11000,256,100,20,100000,8250,100,30,50,100,"cuda",4,1234,139.135,138.991813397,0.93828781512605,0.921971337180217,0.105519817674214,0.108328163359257,91,88.5,84,94,52
"USPS","pls_lda","Tcycle",11000,256,100,50,100000,8250,100,30,50,100,"cuda",4,1234,324.12,323.980727128,0.952085533262936,0.941126217444576,0.103767198983009,0.109040875702277,84,80,71,92,77
"USPS","pls_lda","Tcycle",11000,256,100,100,100000,8250,100,30,50,100,"cuda",4,1234,636.65,636.529300639,0.961240310077519,0.951973583601171,0.115616752323629,0.111559978680235,61,71,54,85,60
"USPS","pls_lda","M",11000,256,20,100,100000,8250,100,30,50,100,"cuda",4,1234,123.851,123.692386275,0.963896547197059,0.953425605930523,0.109782539533044,0.111763255023462,74,72.5,55,85,16
"USPS","pls_lda","M",11000,256,50,100,100000,8250,100,30,50,100,"cuda",4,1234,319.838,319.715220295,0.960225781044894,0.950275137311133,0.108022300126532,0.11294047525635,76,71,55,86,40
"USPS","pls_lda","M",11000,256,100,100,100000,8250,100,30,50,100,"cuda",4,1234,636.65,636.529300639,0.961240310077519,0.951973583601171,0.115616752323629,0.111559978680235,61,71,54,85,60
